time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001808,-0.2810,0.3275,-0.8893,0.988
0.002658,-0.3569,0.3557,-0.8756,1.010
0.029386,-0.3749,0.3966,-0.8848,1.040
0.029988,-0.3441,0.4444,-0.9148,1.074
0.034574,-0.3183,0.4502,-0.9565,1.104
0.041815,-0.3725,0.4430,-0.9837,1.141
0.051962,-0.3742,0.4481,-0.9207,1.090
0.076401,-0.3594,0.4512,-0.8296,1.010
0.077075,-0.3705,0.4398,-0.7551,0.949
0.084749,-0.3766,0.4334,-0.6499,0.867
0.092152,-0.3563,0.4080,-0.5640,0.782
0.102880,-0.3547,0.3898,-0.5260,0.745
0.114217,-0.3647,0.3741,-0.5288,0.743
0.122815,-0.3413,0.3800,-0.5748,0.769
0.133513,-0.2827,0.3837,-0.6044,0.770
0.142262,-0.2813,0.3871,-0.6764,0.829
0.152930,-0.2917,0.4046,-0.7596,0.909
0.162498,-0.2851,0.3954,-0.8085,0.944
0.173402,-0.2928,0.4054,-0.8453,0.982
0.182939,-0.3262,0.4099,-0.9093,1.049
0.192849,-0.3310,0.4308,-0.9601,1.103
0.205383,-0.3264,0.4532,-1.0209,1.164
0.216002,-0.2792,0.4531,-1.0742,1.199
0.229874,-0.1874,0.4519,-1.1058,1.209
0.234489,-0.0756,0.4373,-1.1477,1.231
0.244520,-0.0312,0.4175,-1.2067,1.277
0.254386,0.0050,0.3787,-1.2200,1.277
0.265187,0.0282,0.3569,-1.2070,1.259
0.276602,0.0192,0.3512,-1.2064,1.257
0.284978,-0.0050,0.3583,-1.1750,1.228
0.294245,-0.0348,0.3681,-1.0983,1.159
0.304522,-0.1216,0.3473,-1.0175,1.082
0.315526,-0.1375,0.3369,-0.9217,0.991
0.327447,-0.1258,0.3299,-0.8184,0.891
0.337662,-0.1160,0.3125,-0.7453,0.816
0.345437,-0.1074,0.2736,-0.7346,0.791
0.355642,-0.0979,0.2351,-0.7100,0.754
0.365502,-0.0881,0.2048,-0.6326,0.671
0.376311,-0.0832,0.1980,-0.5222,0.565
0.385502,-0.0901,0.1853,-0.4271,0.474
0.394839,-0.1158,0.1858,-0.3474,0.411
0.405978,-0.0964,0.1869,-0.3076,0.373
0.419133,-0.0799,0.1788,-0.3117,0.368
0.428728,-0.0371,0.1618,-0.3297,0.369
0.434848,-0.0320,0.1549,-0.3608,0.394
0.445111,-0.0546,0.1555,-0.4001,0.433
0.455011,-0.1025,0.1662,-0.4100,0.454
0.465233,-0.1640,0.1776,-0.3930,0.461
0.475428,-0.1776,0.1944,-0.3444,0.434
0.485748,-0.1938,0.2138,-0.3349,0.442
0.494859,-0.1838,0.2237,-0.3350,0.443
0.506002,-0.1664,0.2121,-0.3491,0.441
0.518777,-0.1369,0.1906,-0.3650,0.434
0.527023,-0.1048,0.1787,-0.3808,0.433
0.535224,-0.0681,0.1575,-0.3302,0.372
0.545722,-0.0624,0.1389,-0.2945,0.332
0.555325,-0.0495,0.1058,-0.2799,0.303
0.565144,-0.0769,0.0942,-0.2772,0.303
0.575056,-0.0925,0.0997,-0.2538,0.288
0.586867,-0.1012,0.0935,-0.2052,0.247
0.595111,-0.1102,0.0973,-0.1792,0.232
0.604939,-0.1003,0.1082,-0.2012,0.249
0.617108,-0.1117,0.1194,-0.2093,0.266
0.628520,-0.1297,0.1404,-0.2137,0.287
0.639699,-0.1447,0.1473,-0.2164,0.299
0.645954,-0.1736,0.1640,-0.2173,0.323
0.657238,-0.1833,0.1807,-0.2042,0.329
0.666225,-0.1691,0.1807,-0.1816,0.307
0.684997,-0.1429,0.1663,-0.1970,0.295
0.686843,-0.1332,0.1495,-0.2266,0.302
0.707460,-0.1209,0.1208,-0.2135,0.273
0.708288,-0.0660,0.0805,-0.1442,0.178
0.720500,-0.0588,0.0503,-0.0720,0.106
0.734147,-0.0495,0.0419,-0.0221,0.068
0.743549,-0.0142,0.0099,0.0075,0.019
0.754900,0.0510,0.0117,0.0335,0.062
0.757320,0.0714,0.0092,0.0004,0.072
0.766840,0.0157,0.0160,-0.0462,0.051
0.777105,-0.0529,0.0564,-0.0525,0.093
0.787809,-0.1159,0.0946,-0.0257,0.152
0.799687,-0.1778,0.1255,0.0202,0.219
0.811955,-0.1972,0.1376,0.0770,0.252
0.822126,-0.1879,0.1523,0.1119,0.266
0.833584,-0.1382,0.1500,0.1137,0.233
0.844285,-0.0990,0.1310,0.1108,0.198
0.855229,-0.0839,0.0834,0.1026,0.157
0.866515,-0.0407,0.0407,0.0895,0.106
0.868360,0.0262,0.0147,0.0667,0.073
0.877930,0.0658,-0.0066,0.0443,0.080
0.888610,0.0552,-0.0257,0.0011,0.061
0.900770,0.0310,-0.0113,0.0036,0.033
0.919792,0.0284,0.0103,0.0127,0.033
0.921736,0.0043,0.0415,0.0030,0.042
0.930588,-0.0211,0.0725,-0.0207,0.078
0.941208,-0.0253,0.0891,-0.0251,0.096
0.953200,-0.0153,0.0960,-0.0168,0.099
0.965619,-0.0339,0.0935,-0.0213,0.102
0.968871,-0.0425,0.0765,-0.0635,0.108
0.978099,-0.0626,0.0713,-0.0908,0.131
0.988295,-0.0806,0.0851,-0.1102,0.161
0.999013,-0.0461,0.1061,-0.1108,0.160
1.009758,-0.0216,0.0909,-0.1414,0.169
1.020847,0.0206,0.0709,-0.1788,0.193
1.034081,0.0274,0.0719,-0.2122,0.226
1.044596,0.0127,0.0701,-0.2585,0.268
1.057281,-0.0066,0.0684,-0.2618,0.271
1.059571,-0.0141,0.0669,-0.2351,0.245
1.069438,-0.0303,0.0898,-0.2120,0.232
1.082554,-0.0726,0.1225,-0.1829,0.232
1.089892,-0.0904,0.1409,-0.1444,0.221
1.100022,-0.0913,0.1500,-0.1190,0.212
1.115093,-0.1014,0.1495,-0.1386,0.228
1.119419,-0.0882,0.1415,-0.1930,0.255
1.130707,-0.0651,0.1259,-0.2486,0.286
1.143452,-0.0360,0.1269,-0.2793,0.309
1.155645,-0.0424,0.1135,-0.2621,0.289
1.165866,-0.0725,0.1078,-0.1848,0.226
1.170114,-0.0620,0.1074,-0.0898,0.153
1.180433,-0.0732,0.0974,-0.0882,0.150
1.190229,-0.0573,0.0778,-0.0820,0.127
1.200732,-0.0538,0.0728,-0.0597,0.108
1.211649,-0.0462,0.0726,-0.0397,0.095
1.221936,-0.0339,0.0725,-0.0179,0.082
1.233664,-0.0315,0.0723,-0.0126,0.080
1.245910,0.0161,0.0651,-0.0290,0.073
1.256075,0.0463,0.0572,-0.1196,0.140
1.267399,0.0505,0.0678,-0.2342,0.249
1.278254,0.0240,0.0879,-0.2603,0.276
1.281148,-0.0331,0.0941,-0.2181,0.240
1.290873,-0.0942,0.1078,-0.1535,0.210
1.301669,-0.0995,0.1265,-0.0922,0.185
1.316712,-0.1175,0.1502,-0.0389,0.195
1.324894,-0.1132,0.1356,-0.0186,0.178
1.334041,-0.1189,0.1258,-0.0346,0.176
1.345941,-0.0938,0.1184,-0.0460,0.158
1.356262,-0.0482,0.1205,-0.0426,0.137
1.366553,-0.0353,0.0890,-0.0672,0.117
1.378305,-0.0161,0.0668,-0.1198,0.138
1.382035,0.0148,0.0563,-0.1573,0.168
1.391373,0.0355,0.0724,-0.1451,0.166
1.402202,0.0346,0.0646,-0.0879,0.115
1.413072,-0.0153,0.0812,-0.0514,0.097
1.423203,-0.0692,0.0977,-0.0123,0.120
1.434376,-0.0988,0.1049,0.0117,0.145
